Tube_name	Treat_age_rep	Treatment	Age	TA_treat	rep	T0_worm_g	T1_worm_g	W_Change			
W061	Age09_TA1_r1	A09_TAI_R1	A09	1	R1	0.049	0.023	0.026			
W062	Age09_TA1_r2	A09_TAI_R2	A09	1	R2	0.045	0.017	0.028			
W063	Age09_TA1_r3	A09_TAI_R3	A09	1	R3	0.041	0.014	0.027			
W064	Age09_TA1_r4	A09_TAI_R4	A09	1	R4	0.029	0.007	0.022			
W065	Age09_TA1_r5	A09_TAI_R5	A09	1	R5	0.038	0.013	0.025			
W066	Age09_TA0_r1	A09_TAO_R1	A09	0	R1	0.03	0.013	0.017			
W067	Age09_TA0_r2	A09_TAO_R2	A09	0	R2	0.039	0.014	0.025			
W068	Age09_TA0_r3	A09_TAO_R3	A09	0	R3	0.049	0.024	0.025			
W069	Age09_TA0_r4	A09_TAO_R4	A09	0	R4	0.031	0.007	0.024			
W070	Age09_TA0_r5	A09_TAO_R5	A09	0	R5	0.026	0.008	0.018			
W071	Age10_TA1_r1	A10_TAI_R1	A10	1	R1	0.031	0.015	0.016			
W072	Age10_TA1_r2	A10_TAI_R2	A10	1	R2	0.038	0.011	0.027			
W073	Age10_TA1_r3	A10_TAI_R3	A10	1	R3	0.024	0.011	0.013			
W074	Age10_TA1_r4	A10_TAI_R4	A10	1	R4	0.042	0.016	0.026			
W075	Age10_TA1_r5	A10_TAI_R5	A10	1	R5	0.028	0.009	0.019			
W076	Age10_TA0_r1	A10_TAO_R1	A10	0	R1	0.025	0.009	0.016			
W077	Age10_TA0_r2	A10_TAO_R2	A10	0	R2	0.033	0.012	0.021			
W078	Age10_TA0_r3	A10_TAO_R3	A10	0	R3	0.033	0.01	0.023			
W079	Age10_TA0_r4	A10_TAO_R4	A10	0	R4	0.027	0.008	0.019			
W080	Age10_TA0_r5	A10_TAO_R5	A10	0	R5	0.036	0.014	0.022			
W081	Age11_TA1_r1	A11_TAI_R1	A11	1	R1	0.035	0.013	0.022			
W082	Age11_TA1_r2	A11_TAI_R2	A11	1	R2	0.023	0.012	0.011			
W083	Age11_TA1_r3	A11_TAI_R3	A11	1	R3	0.027	0.009	0.018			
W084	Age11_TA1_r4	A11_TAI_R4	A11	1	R4	0.037	0.014	0.023			
W085	Age11_TA1_r5	A11_TAI_R5	A11	1	R5	0.031	0.01	0.021			
W086	Age11_TA0_r1	A11_TAO_R1	A11	0	R1	0.035	0.018	0.017			
W087	Age11_TA0_r2	A11_TAO_R2	A11	0	R2	0.027	0.013	0.014			
W088	Age11_TA0_r3	A11_TAO_R3	A11	0	R3	0.03	0.013	0.017			
W089	Age11_TA0_r4	A11_TAO_R4	A11	0	R4	0.026	0.01	0.016			
W090	Age11_TA0_r5	A11_TAO_R5	A11	0	R5	0.046	0.016	0.03			
W091	Age12_TA1_r1	A12_TAI_R1	A12	1	R1	0.036	0.015	0.021			
W092	Age12_TA1_r2	A12_TAI_R2	A12	1	R2	0.032	0.014	0.017			
W093	Age12_TA1_r3	A12_TAI_R3	A12	1	R3	0.03	0.014	0.016			
W094	Age12_TA1_r4	A12_TAI_R4	A12	1	R4	0.033	0.01	0.019			
W095	Age12_TA1_r5	A12_TAI_R5	A12	1	R5	0.029	0.013	0.019			
W096	Age12_TA0_r1	A12_TAO_R1	A12	0	R1	0.03	0.01	0.017			
W097	Age12_TA0_r2	A12_TAO_R2	A12	0	R2	0.024	0.009	0.014			
W098	Age12_TA0_r3	A12_TAO_R3	A12	0	R3	0.039	0.013	0.026			
W099	Age12_TA0_r4	A12_TAO_R4	A12	0	R4	0.032	0.009	0.023			
W100	Age12_TA0_r5	A12_TAO_R5	A12	0	R5	0.035	0.015	0.02			
W101	Age24_TA1_r1	A24_TAI_R1	A24	1	R1	0.031	0.01	0.021			
W102	Age24_TA1_r2	A24_TAI_R2	A24	1	R2	0.036	0.012	0.024			
W103	Age24_TA1_r3	A24_TAI_R3	A24	1	R3	0.031	0.012	0.019			
W104	Age24_TA1_r4	A24_TAI_R4	A24	1	R4	0.051	0.019	0.032			
W105	Age24_TA1_r5	A24_TAI_R5	A24	1	R5	0.035	0.013	0.022			
W106	Age24_TA0_r1	A24_TAO_R1	A24	0	R1	0.04	0.02	0.02			
W107	Age24_TA0_r2	A24_TAO_R2	A24	0	R2	0.023	0.012	0.011			
W108	Age24_TA0_r3	A24_TAO_R3	A24	0	R3	0.042	0.014	0.028			
W109	Age24_TA0_r4	A24_TAO_R4	A24	0	R4	0.042	0.015	0.027			
W110	Age24_TA0_r5	A24_TAO_R5	A24	0	R5	0.028	0.011	0.017			
NA	B0_C001_TA1	B0_C001_TAI	A00	1	R1	0.033	0.011	0.022			
NA	B0_C002_TA1	B0_C002_TAI	A00	1	R2	0.037	0.018	0.019			
NA	B0_C003_TA1	B0_C003_TAI	A00	1	R3	0.027	0.012	0.015			
NA	B0_C004_TA0	B0_C004_TAO	A00	0	R1	0.025	0.012	0.013			
NA	B0_C005_TA0	B0_C005_TAO	A00	0	R2	0.045	0.019	0.026			
NA	B0_C006_TA0	B0_C006_TAO	A00	0	R3	0.038	0.019	0.019			
NA	B0_C007_TA0	B0_C007_TAO	A00	0	R4	0.032	0.014	0.018			
