SampleID	sample_names_list1	leaf_age	treatment	replicates	leaf_age_weeks	richness	shannon	simpson	evenness	
sample137__	sample137__	B0-C005	A00	NA	5	0	37	0.97352741	0.360171194	0.26960663
sample138__	sample138__	B0-C006	A00	NA	6	0	27	1.375855185	0.51267169	0.417452453
sample139__	sample139__	B0-C007	A00	NA	7	0	26	1.190145443	0.440770861	0.365288576
sample14__	sample14__	A02_F50A	A02	F50	A	2	60	1.148217589	0.409503189	0.280439902
sample140__	sample140__	BIB1:5A	BIB	broth_control	NA	NA	37	1.340318953	0.448619271	0.371185107
sample141__	sample141__	BIB1:5B	BIB	broth_control	NA	NA	24	1.147236118	0.457961701	0.360987
sample147__	sample147__	WC3	WC	water_control	NA	NA	46	1.75195009	0.767735476	0.457590542
sample148__	sample148__	WC4	WC	water_control	NA	NA	33	1.273128419	0.550603178	0.364114304
sample15__	sample15__	A02_F50B	A02	F50	B	2	88	2.183903015	0.741265384	0.487768311
sample150__	sample150__	A11_TAO_R2	A11	TAO	R2	11	34	1.294931884	0.513776331	0.367214831
sample151__	sample151__	A11_TAO_R4	A11	TAO	R4	11	34	1.467637876	0.475077461	0.416190536
sample154__	sample154__	A11_TAO_R5	A11	TAO	R5	11	31	0.903439685	0.341232087	0.263087668
sample16__	sample16__	A02_F50C	A02	F50	C	2	37	1.33700029	0.497736458	0.370266044
sample17__	sample17__	A02_TAI_R1A	A02	TAI	R1	2	26	2.124095653	0.764053006	0.651943743
sample18__	sample18__	A02_TAI_R1B	A02	TAI	R1	2	52	1.858167108	0.643285419	0.47027398
sample2__	sample2__	A01_F50B	A01	F50	B	1	49	0.985877673	0.362415828	0.253320451
sample20__	sample20__	A02_TAI_R4	A02	TAI	R4	2	85	1.396442118	0.501531633	0.314326297
sample21__	sample21__	A02_TAI_R5	A02	TAI	R5	2	56	2.276819028	0.833072509	0.565619902
sample22__	sample22__	A02_TAO_R2	A02	TAO	R2	2	47	1.985787447	0.699498495	0.515769174
sample23__	sample23__	A02_TAO_R3	A02	TAO	R3	2	42	2.144197215	0.78123463	0.573672217
sample24__	sample24__	A02_TAO_R4	A02	TAO	R4	2	42	1.82837777	0.772166747	0.489175865
sample25__	sample25__	A02_TAO_R5	A02	TAO	R5	2	65	2.112714777	0.680019482	0.506113746
sample26__	sample26__	A04_F50A	A04	F50	A	4	42	2.1876569	0.702600754	0.585299698
sample27__	sample27__	A04_F50B	A04	F50	B	4	55	2.289138274	0.785392668	0.571237321
sample28__	sample28__	A04_F50C	A04	F50	C	4	108	2.061093519	0.657920982	0.440204133
sample29__	sample29__	A04_TAI	A04	TAI	NA	4	35	1.630544451	0.605240651	0.458617391
sample3__	sample3__	A01_F50C	A01	F50	C	1	41	1.656155093	0.639655373	0.445973597
sample30__	sample30__	A04_TAI_R1	A04	TAI	R1	4	224	3.302305825	0.849604867	0.610222064
sample31__	sample31__	A04_TAI_R2	A04	TAI	R2	4	64	1.103669939	0.366072505	0.265376525
sample33__	sample33__	A04_TAI_R4	A04	TAI	R4	4	30	0.818238231	0.315332452	0.24057358
sample34__	sample34__	A04_TAO_R1	A04	TAO	R1	4	24	2.174330547	0.823500677	0.684170459
sample35__	sample35__	A04_TAO_R1	A04	TAO	R1	4	31	0.969765828	0.511392258	0.282402283
sample36__	sample36__	A04_TAO_R2	A04	TAO	R2	4	40	1.087099781	0.423598866	0.294696478
sample37__	sample37__	A04_TAO_R3	A04	TAO	R3	4	100	1.484151567	0.503628664	0.322279418
sample38__	sample38__	A04_TAO_R4	A04	TAO	R4	4	33	1.811504833	0.700380322	0.51808978
sample39__	sample39__	A04_TAO_R5	A04	TAO	R5	4	49	0.974062609	0.344485384	0.25028458
sample4__	sample4__	A01_TAI	A01	TAI	NA	1	62	1.305033589	0.517230524	0.316208165
sample40__	sample40__	A06_F50A	A06	F50	A	6	60	1.440364267	0.465675568	0.351793613
sample41__	sample41__	A06_F50C	A06	F50	C	6	73	1.606102147	0.619480054	0.374342694
sample42__	sample42__	A06_R4	A06	R4	NA	6	43	1.098000126	0.400512655	0.291928133
sample43__	sample43__	A06_R5	A06	R5	NA	6	43	1.196866228	0.45555785	0.318213919
sample44__	sample44__	A06_TAI	A06	TAI	NA	6	41	2.240265568	0.844835309	0.603264331
sample46__	sample46__	A06_TAI_R2	A06	TAI	R2	6	55	1.254777389	0.456857523	0.313120305
sample48__	sample48__	A06_TAO_R3	A06	TAO	R3	6	50	2.078524898	0.803326058	0.531317146
sample49__	sample49__	A06_TAO_R4	A06	TAO	R4	6	61	1.248896699	0.417067972	0.303803216
sample5__	sample5__	A01_TAI_R1	A01	TAI	R1	1	42	1.362156389	0.63816958	0.36444002
sample50__	sample50__	A06-TAI_R3	A06	TAI	R3	6	46	1.754952778	0.567359092	0.458374811
sample51__	sample51__	A07_F50A	A07	F50	A	7	43	2.525910053	0.844921146	0.671570237
sample52__	sample52__	A07_F50B	A07	F50	B	7	50	2.519754499	0.876025484	0.644105235
sample53__	sample53__	A07_F50C	A07	F50	C	7	30	1.854228014	0.731574815	0.545169188
sample54__	sample54__	A07_R1	A07	R1	NA	7	37	1.838553567	0.710495954	0.509165152
sample56__	sample56__	A07_TAI	A07	TAI	NA	7	19	1.719071152	0.659840268	0.583836569
sample57__	sample57__	A07_TAI_R1	A07	TAI	R1	7	17	1.567774031	0.702127764	0.553355445
sample58__	sample58__	A07_TAI_R1	A07	TAI	R1	7	33	2.144150534	0.770810914	0.61322634
sample59__	sample59__	A07_TAI_R4	A07	TAI	R4	7	20	1.726284093	0.771503892	0.576247787
sample6__	sample6__	A01_TAI_R2	A01	TAI	R2	1	84	2.331435788	0.792102933	0.526186456
sample60__	sample60__	A07_TAI_R5	A07	TAI	R5	7	26	1.958358807	0.776255993	0.601074518
sample61__	sample61__	A07_TAO_R2	A07	TAO	R2	7	27	1.447516825	0.5856998	0.439195532
sample62__	sample62__	A07_TAO_R4	A07	TAO	R4	7	43	2.84332718	0.883422201	0.755962749
sample7__	sample7__	A01_TAI_R3	A01	TAI	R3	1	106	2.715803334	0.836756934	0.582360631
sample73__	sample73__	A08_TAO_R2	A08	TAO	R2	8	26	0.88686532	0.354329411	0.272203512
sample77__	sample77__	A09_F50A	A09	F50	A	9	20	0.611498635	0.223383031	0.204123259
sample8__	sample8__	A01_TAI_R4	A01	TAI	R4	1	35	1.196198872	0.595382223	0.336450567
sample9__	sample9__	A01_TAO_R1	A01	TAO	R1	1	44	1.304179848	0.613126885	0.344639136
sample97__	sample97__	A10_TAO_R4	A10	TAO	R4	10	50	2.843515064	0.903090365	0.726865629
sample98__	sample98__	A10_TAO_R5	A10	TAO	R5	10	35	1.687417916	0.662259954	0.474613986
sample99__	sample99__	A11_F50A	A11	F50	A	11	39	2.319720439	0.794189979	0.633187227
